dataset_id,protocol_id,n_sub,replicate_id,classifier_id,fold_id,auc
synthetic_pilot,cv5,50,15,dtree,4,0.6875
synthetic_pilot,cv5,50,15,dtree,5,0.53125
synthetic_pilot,cv5,50,15,svm,1,0.25
synthetic_pilot,cv5,50,15,svm,2,0.3125
synthetic_pilot,cv5,50,15,svm,3,0.5
synthetic_pilot,cv5,50,15,svm,4,0.5
synthetic_pilot,cv5,50,15,svm,5,0.8125
synthetic_pilot,cv5,50,15,rf,1,0.625
synthetic_pilot,cv5,50,15,rf,2,0.5
synthetic_pilot,cv5,50,15,rf,3,0.46875
synthetic_pilot,cv5,50,15,rf,4,0.5625
synthetic_pilot,cv5,50,15,rf,5,0.5
synthetic_pilot,cv5,50,15,gb,1,0.8125
synthetic_pilot,cv5,50,15,gb,2,0.8125
synthetic_pilot,cv5,50,15,gb,3,0.125
synthetic_pilot,cv5,50,15,gb,4,0.5625
synthetic_pilot,cv5,50,15,gb,5,0.4375
synthetic_pilot,cv5,50,16,logreg,1,0.9375
synthetic_pilot,cv5,50,16,logreg,2,0.875
synthetic_pilot,cv5,50,16,logreg,3,1.0
synthetic_pilot,cv5,50,16,logreg,4,0.875
synthetic_pilot,cv5,50,16,logreg,5,0.75
synthetic_pilot,cv5,50,16,knn,1,0.9375
synthetic_pilot,cv5,50,16,knn,2,0.6875
synthetic_pilot,cv5,50,16,knn,3,0.8125
synthetic_pilot,cv5,50,16,knn,4,0.8125
synthetic_pilot,cv5,50,16,knn,5,0.75
synthetic_pilot,cv5,50,16,dtree,1,0.75
synthetic_pilot,cv5,50,16,dtree,2,0.5
synthetic_pilot,cv5,50,16,dtree,3,0.75
synthetic_pilot,cv5,50,16,dtree,4,0.5625
synthetic_pilot,cv5,50,16,dtree,5,1.0
synthetic_pilot,cv5,50,16,svm,1,0.9375
synthetic_pilot,cv5,50,16,svm,2,0.875
synthetic_pilot,cv5,50,16,svm,3,1.0
synthetic_pilot,cv5,50,16,svm,4,0.875
synthetic_pilot,cv5,50,16,svm,5,0.875
synthetic_pilot,cv5,50,16,rf,1,0.96875
synthetic_pilot,cv5,50,16,rf,2,0.875
synthetic_pilot,cv5,50,16,rf,3,1.0
synthetic_pilot,cv5,50,16,rf,4,1.0
synthetic_pilot,cv5,50,16,rf,5,0.9375
synthetic_pilot,cv5,50,16,gb,1,0.71875
synthetic_pilot,cv5,50,16,gb,2,0.875
synthetic_pilot,cv5,50,16,gb,3,0.875
synthetic_pilot,cv5,50,16,gb,4,0.8125
synthetic_pilot,cv5,50,16,gb,5,0.8125
synthetic_pilot,cv5,50,17,logreg,1,0.8125
synthetic_pilot,cv5,50,17,logreg,2,0.5
synthetic_pilot,cv5,50,17,logreg,3,0.875
synthetic_pilot,cv5,50,17,logreg,4,0.875
synthetic_pilot,cv5,50,17,logreg,5,0.5625
synthetic_pilot,cv5,50,17,knn,1,1.0
synthetic_pilot,cv5,50,17,knn,2,0.375
synthetic_pilot,cv5,50,17,knn,3,0.9375
synthetic_pilot,cv5,50,17,knn,4,0.5625
synthetic_pilot,cv5,50,17,knn,5,0.34375
synthetic_pilot,cv5,50,17,dtree,1,0.4375
synthetic_pilot,cv5,50,17,dtree,2,0.375
synthetic_pilot,cv5,50,17,dtree,3,0.4375
synthetic_pilot,cv5,50,17,dtree,4,0.75
synthetic_pilot,cv5,50,17,dtree,5,0.75
synthetic_pilot,cv5,50,17,svm,1,0.0625
synthetic_pilot,cv5,50,17,svm,2,0.375
synthetic_pilot,cv5,50,17,svm,3,0.0
synthetic_pilot,cv5,50,17,svm,4,0.6875
synthetic_pilot,cv5,50,17,svm,5,0.625
synthetic_pilot,cv5,50,17,rf,1,0.8125
synthetic_pilot,cv5,50,17,rf,2,0.75
synthetic_pilot,cv5,50,17,rf,3,0.6875
synthetic_pilot,cv5,50,17,rf,4,0.75
synthetic_pilot,cv5,50,17,rf,5,0.53125
synthetic_pilot,cv5,50,17,gb,1,0.625
synthetic_pilot,cv5,50,17,gb,2,0.5625
synthetic_pilot,cv5,50,17,gb,3,0.9375
synthetic_pilot,cv5,50,17,gb,4,0.625
synthetic_pilot,cv5,50,17,gb,5,0.3125
synthetic_pilot,cv5,50,18,logreg,1,0.5625
synthetic_pilot,cv5,50,18,logreg,2,0.5625
synthetic_pilot,cv5,50,18,logreg,3,0.9375
synthetic_pilot,cv5,50,18,logreg,4,1.0
synthetic_pilot,cv5,50,18,logreg,5,0.875
